iso_time,elapsed_s,speed_mph,speed_kmh,elev_0845,elev_0850,vert_0841,c1418,routine
2026-06-27T22:57:08,0.0,0.0,0,0.278,0.2456,-0.177,143,01 01 00 02
2026-06-27T22:57:10,1.3,0.0,0,0.278,0.2456,-0.177,143,01 01 00 02
2026-06-27T22:57:11,2.7,0.0,0,0.278,0.2456,-0.18,143,01 01 00 02
2026-06-27T22:57:12,4.0,0.0,0,0.278,0.2456,-0.177,143,01 01 00 02
2026-06-27T22:57:14,5.3,0.0,0,0.278,0.2456,-0.177,143,01 01 00 02
2026-06-27T22:57:15,6.7,0.0,0,0.278,0.2456,-0.177,143,01 01 00 02
2026-06-27T22:57:16,8.0,0.0,0,0.278,0.2456,1.286,143,21 01 00 02
2026-06-27T22:57:18,9.3,1.9,3,0.278,0.2456,1.601,143,21 01 00 02
2026-06-27T22:57:19,10.6,3.1,5,0.278,0.2456,0.425,143,21 01 00 02
2026-06-27T22:57:20,12.0,3.7,6,0.278,0.2456,0.059,143,21 01 00 02
2026-06-27T22:57:22,13.3,5.0,8,0.278,0.2456,0.644,143,21 01 00 02
2026-06-27T22:57:23,14.6,5.6,9,0.278,0.2456,0.273,143,21 01 00 02
2026-06-27T22:57:24,16.0,6.8,11,0.278,0.2456,0.057,143,01 01 00 02
2026-06-27T22:57:26,17.3,9.3,15,0.278,0.2456,0.184,143,21 01 00 02
2026-06-27T22:57:27,18.6,11.2,18,0.278,0.2456,0.217,143,01 01 00 02
2026-06-27T22:57:28,20.0,13.0,21,0.278,0.2456,0.217,143,21 01 00 02
2026-06-27T22:57:30,21.3,14.9,24,0.278,0.2456,0.193,143,01 01 00 02
2026-06-27T22:57:31,22.6,15.5,25,0.278,0.2456,0.036,143,01 01 00 02
2026-06-27T22:57:32,23.9,14.3,23,0.278,0.2456,-0.153,143,01 01 00 03
2026-06-27T22:57:34,25.3,11.8,19,0.278,0.2456,-0.131,143,09 01 00 02
